Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Asian Pork Tenderloin,4.6,This Asian pork recipe is simple and flavorful. Marinate the pork tenderloin for at least 8 hours (overnight is best) and flip it after 4 hours. It's great with rice and veggies like bok choy. Enjoy!,15 mins,25 mins,8 hrs 40 mins,4,"1 (2 pound) fat-trimmed pork tenderloin | ⅓ cup lite soy sauce | ¼ cup sesame oil | 2 tablespoons Worcestershire sauce | 3 green onions, chopped | 4 cloves garlic, crushed | 2 tablespoons packed light brown sugar | 1 ½ tablespoons Asian chile paste | 1 ½ teaspoons pepper",,15.0,25.0,520.0,480.0,E,Long Wait,Wait time > 30 min,"- Pour into a medium bowl the soy sauce, sesame oil, and Worcestershire sauce. Then whisk in brown sugar, green onions, garlic, chile paste, and pepper. Place the tenderloin in a shallow dish. Pour sauce over tenderloin, turning the meat a few times to coat. Cover dish, and refrigerate at least 8 hours.
- Preheat oven to 450 degrees F (230 degrees C). Transfer pork with marinade into an aluminum foil-lined baking pan.
- Roast in a preheated oven 25 to 30 minutes. Remove, and let stand 5 to 10 minutes before carving."
Israeli Salad Recipe,4.5,"This refreshing, lightly dressed, colorful salad is typically offered at many falafel stands in Israel. You'll love this salad served alone, as a side, or in a pita!",25 mins,,25 mins,5,"6 cucumbers, diced | 4 Roma tomatoes, seeded and diced | 5 green onions, sliced | 1 red bell pepper, seeded and diced | ⅓ cup chopped garlic | 1 cup chopped fresh parsley | ½ cup minced fresh mint leaves | ½ cup olive oil | 2 tablespoons fresh lemon juice | 1 tablespoon salt | 1 tablespoon ground black pepper",https://www.allrecipes.com/thmb/nWwL222zPWrRaddbPzsZwhTIlws=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8288753-16a55053c23e44b691da73881ceaa46a.jpg,25.0,,25.0,0.0,,,,"- In a large bowl, mix together tomatoes, cucumber, red pepper, onion, and parsley.
- Add oil, lemon juice, and za'atar and toss to combine. Season with salt and pepper to taste. Serve immediately."
Dream Bars,4.7,These dream bars are rich and chewy. They're made with an old-time South Dakota recipe that makes a simple crust topped with a layer of chewy coconut and nuts. Cocoa is an optional ingredient.,15 mins,40 mins,55 mins,24,"2 cups brown sugar, divided | ½ cup butter | 1 ¾ cups all-purpose flour, divided | 3 eggs, beaten | 1 teaspoon vanilla extract | ¼ cup unsweetened cocoa powder (Optional) | 1 teaspoon baking powder | ¼ teaspoon salt | 1 ½ cups flaked coconut | 1 cup chopped walnuts",https://www.allrecipes.com/thmb/VyQyyw101Q1BoMJW5NJfHXx-q_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/885722-307d81dbcb0f421f8132b9a559dfd136.jpg,15.0,40.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Sift flour and sugar.
- Add eggs; mix well.
- Add coconut and nuts.
- Spread on top of hot crust and return to oven for 20 minutes at 350°.
- Let cool.
- Cut into bars."
Frutti Di Mare,4.5,Literally “fruit of the sea”. This is a seafood extravaganza ladled over pasta with an immensely flavorful sauce. And it's very fast and easy.,30 mins,40 mins,1 hr 10 mins,8,"1 tablespoon olive oil | 4 cloves garlic, minced | 1 ½ tablespoons crushed red pepper | 1 ½ cups Chardonnay white wine | 1 cup clam juice | 6 cups marinara sauce | 8 leaves fresh basil, coarsely chopped | 1 pinch salt | 1 (16 ounce) package linguine pasta | 1 pound uncooked medium shrimp, peeled and deveined | ⅓ pound scallops | 3 whole lobster tails, shelled, cleaned, and chopped | 24 mussels, cleaned and debearded | 24 littleneck clams, scrubbed | 1 tablespoon chopped fresh parsley, or to taste | 2 tablespoons grated Parmesan cheese, or to taste",https://www.allrecipes.com/thmb/9Itpsuih-pY7z4PrdRpaXoAuh5M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8255562-2b5bc36366db45ddadcc1ab5c92018a4.jpg,30.0,40.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Place a large pot of water on to boil for pasta.
- When it boils, add salt and pasta and cook angel hair to al dente.
- Heat oil in a large skillet over medium heat, saute shallots and garlic with crushed pepper 2 or 3 minutes, stirring constantly with a wooden spoon.
- Add wine and reduce 1 minute.
- Raise the heat a bit.
- Add crushed tomatoes and bring sauce to a bubble.
- Season sauce with salt and pepper.
- Add clams and mussels and cover the pan.
- Steam until shells open, about 5 minutes.
- Remove any unopened shells.
- Add shrimp to sauce and cook until just firm, 3 minutes.
- Add parsley and basil to the sauce and shake the pan to incorporate it.
- Adjust seasonings, to taste.
- Combine drained pasta with a few ladles of sauce and pile pasta into shallow platters or bowls.
- Top with arranged mixed seafood and sauce.
- Serve with warm, crusty bread for dipping."
Seafood Pasta Salad,4.5,Something different that's great for picnics. My family begs for it all year!,25 mins,10 mins,5 hrs 35 mins,8,1 ½ (8 ounce) packages tri-color pasta | 3 stalks celery | 1 pound imitation crabmeat | 1 cup frozen green peas | 1 cup mayonnaise | 1 ½ tablespoons white sugar | 2 tablespoons white vinegar | 3 tablespoons milk | 1 teaspoon salt | ¼ teaspoon ground black pepper,https://www.allrecipes.com/thmb/tib4CjpmBiZiYkVZILP3K5LL0gc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8002081-a305837949fe4304b134c302b1b54c13.jpg,25.0,10.0,335.0,300.0,E,Long Wait,Wait time > 30 min,"- Combine dressings and cheese; mix well.
- Add remaining ingredients; mix lightly.
- Chill.
- Makes 4 servings.
- Prep time: 15 minutes plus chilling."
Easy Pumpkin Chocolate Chip Cookies,4.6,"You will be glad you tried this unique combination of nuts, chocolate, spices, and pumpkin.",15 mins,15 mins,45 mins,48,½ cup shortening | 1 ½ cups white sugar | 1 egg | 1 cup canned pumpkin | 1 teaspoon vanilla extract | 2 ½ cups all-purpose flour | 1 teaspoon baking powder | 1 teaspoon baking soda | 1 teaspoon salt | 1 teaspoon ground nutmeg | 1 teaspoon ground cinnamon | ½ cup chopped walnuts (Optional) | 1 cup semisweet chocolate chips,https://www.allrecipes.com/thmb/vmKI2P25HF9J6FwogbCIl1hZOkk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9396168-pumpkin-chocolate-chip-cookies-i-Susan-Marie-4x3-1-09a93749e05240ee81ddfc454174c4eb.jpg,15.0,15.0,45.0,15.0,D,Short Wait,Wait time 1-30 min,- Mix ingredients together. Drop by teaspoons onto cookie sheet. Bake at 350 degrees F for 12-14 minutes.
Beer Batter Fish Made Great,4.5,"This beer-battered fish is a great recipe and very easy to make. We often fish all day with friends, and then cook the fish afterwards out on deck. Yummy and great!",15 mins,15 mins,30 mins,8,"2 quarts vegetable oil for frying | 8 (4 ounce) fillets cod | salt and pepper to taste | 1 cup all-purpose flour | 2 tablespoons garlic powder or to taste | 2 tablespoons paprika or to taste | 2 teaspoons salt or to taste | 2 teaspoons ground black pepper or to taste | 1 large egg, beaten | 1 (12 fluid ounce) can or bottle beer, or as needed",,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Heat oil in a deep fryer to 365 degrees F (185 degrees C). Rinse fish, pat dry, and season with salt and pepper.
- Combine flour, garlic powder, paprika, 2 teaspoons salt, and 2 teaspoons pepper. Stir egg into dry ingredients. Gradually mix in beer until a thin batter is formed. You should be able to see the fish through the batter after it has been dipped.
- Dip fish fillets into the batter, then drop one at a time into hot oil. Fry fish, turning once, until both sides are golden brown. Drain on paper towels, and serve warm."
Apple Strudel Muffins,4.5,Fabulous apple muffins with a delicious cinnamon crumb topping. Give them a try — you won't be sorry!,20 mins,20 mins,45 mins,12,"2 cups all-purpose flour | 1 teaspoon baking powder | ½ teaspoon baking soda | ½ teaspoon salt | 1 cup white sugar | ½ cup butter, softened | 2 large eggs | 1 ¼ teaspoons vanilla | 1 ½ cups chopped apples | ⅓ cup packed brown sugar | 1 tablespoon all-purpose flour | ⅛ teaspoon ground cinnamon | 1 tablespoon butter",,20.0,20.0,45.0,5.0,D,Short Wait,Wait time 1-30 min,"- Preheat oven to 375 degrees F (190 degrees C). Grease a 12 cup muffin pan.
- In a medium bowl, mix flour, baking powder, baking soda and salt.
- In a large bowl, beat together butter, sugar and eggs until smooth. Mix in vanilla. Stir in apples, and gradually blend in the flour mixture. Spoon the mixture into the prepared muffin pan.
- In a small bowl, mix brown sugar, flour and cinnamon. Cut in butter until mixture is like coarse crumbs. Sprinkle over tops of mixture in muffin pan.
- Bake 20 minutes in the preheated oven, or until a toothpick inserted in the center of a muffin comes out clean. Allow to sit 5 minutes before removing muffins from pan. Cool on a wire rack."
Presidente Margarita,4.9,"This presidente margarita requires good tequila and brandy. If you love a famous Mexican food chain's presidential margarita, you'll love this recipe.",5 mins,,5 mins,1,"salt for rimming glass | 2 lime wedges, divided | 3 cubes ice, or as desired | 4 fluid ounces sweet-and-sour cocktail mix | 1 ¼ fluid ounces tequila | ½ fluid ounce orange-flavored liqueur (such as Cointreau) | ½ fluid ounce brandy (such as Presidente)",https://www.allrecipes.com/thmb/NnmjnfHY5_5oj3ivxq5SiWv8iOc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/231330presidente-margaritaChefMo4x3-8f523fd9fa454afd88d4d76973eb716e.jpg,5.0,,5.0,0.0,,,,"- Rim a margarita glass with salt; place ice into glass. Pour cocktail mix, tequila, orange liqueur, brandy, and lime juice into a cocktail shaker, cover, and shake to combine. Pour into prepared glass."
Linguini with Bacon and Scallops,4.8,"This linguine with scallops is a quick, healthy meal. Good enough for holidays or guests! Tastes best with fresh scallops. Most of the prep can be done while the water boils and pasta cooks. Quick and easy.",25 mins,24 mins,49 mins,6,"1 pound linguine | 1 onion, finely chopped | 6 slices bacon, diced | 1 pound sea scallops, halved horizontally | 3 cloves garlic, minced | ½ teaspoon red pepper flakes | ½ teaspoon ground black pepper | ½ teaspoon salt | ½ cup dry white wine | ⅓ cup chopped Italian parsley | 1 pinch lemon zest, or more to taste",https://www.allrecipes.com/thmb/BGPIe3fH3aEC0xanIiiCU23WWFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9397994-282538c0a80a459e84c4c62197220bcc.jpg,25.0,24.0,49.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes; drain.
- Heat a skillet over medium heat; cook and stir onion and bacon until onion is tender and bacon is crisp, about 6 minutes. Add scallops, garlic, red pepper flakes, black pepper, and salt; cook and stir until scallops are cooked through, about 1 minute. Stir in wine; cook for 1 minute.
- Remove skillet from heat and stir parsley into scallop mixture. Top linguine with scallop mixture and garnish with lemon zest."
Bob's Stuffed Banana Peppers,4.8,These stuffed banana peppers are filled with a cheesy Italian sausage mixture and baked in a delicious tomato sauce. We get requests to make this awesome recipe for banana peppers all the time from the guys my husband works with.,30 mins,1 hr 30 mins,2 hrs,8,"8 banana peppers | 2 tablespoons butter | ½ cup chopped onion | ½ cup chopped celery | 1 (28 ounce) can crushed tomatoes | 1 (8 ounce) can tomato sauce | 2 cloves garlic, minced | 2 ½ teaspoons salt, divided or to taste | 1 teaspoon dried basil | 1 teaspoon dried oregano | ½ teaspoon ground black pepper, divided | ½ cup grated Parmesan cheese | 1 large egg | 1 teaspoon Worcestershire sauce | 1 pound hot Italian sausage | 1 pound mild Italian sausage | 1 ½ cups bread crumbs",https://www.allrecipes.com/thmb/eLnIkpjhk2ZiYlLBwcnOm0M44sk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/105546-9d6a9f756d1a4189b87e9a06973edc76.jpg,30.0,90.0,120.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Cut off tops of peppers, and remove ribs and seeds. Chop edible portions of tops; set aside. Bring a large pot of salted water to a boil. Add peppers, reduce heat, and simmer until tender but still firm, about 5 minutes. Drain and set aside.
- Heat butter in a medium skillet. Saute reserved chopped pepper, onion and celery until tender, 3 to 5 minutes. Stir in crushed tomatoes, tomato sauce and garlic. Season with basil, oregano, 1 1/2 teaspoons salt and 1/4 teaspoon pepper. Simmer uncovered for 10 minutes. Preheat oven to 350 degrees F (175 degrees C).
- Meanwhile, in a large mixing bowl, combine egg, 1 teaspoon salt, 1/4 teaspoon pepper, Worcestershire sauce and Parmesan. Mix in hot sausage, mild sausage, bread crumbs and 1 cup of the tomato sauce mixture.
- Using a piping bag or sausage stuffer, fill each pepper with the meat mixture. Place in a 3 quart casserole dish, and pour remaining tomato sauce mixture over peppers.
- Bake uncovered in preheated oven for 1 hour."
Best Instant Pot Chicken Cacciatore,4.9,"A little work up front, barely any cooking time, amazing outcome. Serve this to guests, and they will be amazed by your mad Instant Pot/pressure cooker skills. Serve by itself or over pasta or rice. Also can add a little freshly ground Parmesan cheese.",30 mins,35 mins,1 hr 10 mins,6,"1 pound skinless, boneless chicken thighs | 2 small skinless, boneless chicken breasts, halved lengthwise | 1 tablespoon sea salt | 1 tablespoon fresh ground black pepper | ¼ tablespoon cornstarch | 3 tablespoons extra-virgin olive oil, divided | 3 stalks celery, chopped | 1 small onion, chopped | 4 cloves garlic, minced | 1 (8 ounce) package sliced fresh mushrooms | 1 green bell pepper, diced | 1 red bell pepper, diced | 2 large jarred roasted red bell peppers, chopped | ¾ cup dry Cabernet Sauvignon | 3 tablespoons tomato paste | 2 teaspoons garlic powder | 2 teaspoons onion powder | 2 teaspoons chicken bouillon granules | 2 teaspoons Italian seasoning | 1 ½ teaspoons red pepper flakes, or to taste",https://www.allrecipes.com/thmb/O9asEQVP3kQUyIyNQev8TfaEjUg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6327880-dd5fa5ee360442b9987012ae3ae5fe5f.jpg,30.0,35.0,70.0,5.0,D,Short Wait,Wait time 1-30 min,
My Chicken Pho Recipe,4.4,"This is one of my favorite soups!!! I love going to Vietnamese restaurants, but since I came up with this soup, we stay in!!!",10 mins,30 mins,40 mins,2,"4 ounces dry Chinese egg noodles | 6 cups chicken stock | 2 tablespoons fish sauce | 4 cloves garlic, minced | 2 teaspoons minced fresh ginger root | 1 tablespoon minced lemon grass | 5 green onions, chopped | 2 cups cubed cooked chicken | 1 cup bean sprouts | 1 cup chopped bok choy",https://www.allrecipes.com/thmb/VKlr3p34VJLIIIXlvfTKoElRw_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4176753-e12f8919ab2b46b19e34674609688f0b.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Bring a large saucepan of water to a boil over high heat. Add noodles and return water to boil. Boil until soft, about 8 minutes. Drain and reserve noodles.
- Bring chicken stock, fish sauce, garlic, ginger, lemon grass, and green onions to a boil in a large pot. Reduce to a simmer; cook for 10 minutes. Stir in the chicken, bean sprouts, and bok choy. Cook pho until heated through, about 5 minutes.
- Divide the cooked noodles between 2 large bowls. Pour pho over noodles; serve immediately."
Regular Chicken Soup,4.1,"A simple, hearty chicken soup with noodles. It's perfect for a chilly winter afternoon.",30 mins,2 hrs 30 mins,3 hrs,6,"3 skinless, boneless chicken breast halves | 8 cups water | 10 carrots, peeled and sliced | 6 stalks celery, thinly sliced | 1 onion, diced | 8 cubes chicken bouillon | 1 (12 ounce) package uncooked egg noodles",https://www.allrecipes.com/thmb/O1OimqA75gLRyyh_Zw8_75giRpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/871321-73faa03bfa544dd7a318be02fe76c4a4.jpg,30.0,150.0,180.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- In a large saucepan, boil the chicken until tender and no longer pink. Drain and dice.
- Return diced chicken to the large saucepan. Mix together the water, carrots, celery, onion, chicken bouillon and egg noodles. Boil the mixture approximately 15 minutes, stirring occasionally. Reduce heat and simmer at least 2 hours before serving."
Pesto-Stuffed Grilled Portobellos,4.6,Pesto-stuffed grilled portobellos make for the perfect summer outdoor meal. It stands alone as vegetarian fare if you serve it with fresh fruit (such as watermelon chunks and blueberries); I love it with cedar-plank grilled salmon as well. You will think you've died and gone to heaven.,10 mins,20 mins,40 mins,3,"6 portobello mushrooms | 1 tablespoon olive oil | 1 small shallot, minced | 1 clove garlic, minced | 1 splash Chardonnay wine, or as desired | 3 tablespoons pesto | 2 tablespoons pine nuts | ½ cup shredded Italian 3-cheese blend",https://www.allrecipes.com/thmb/pqxar4rOEqC7aFW61csALO0HNTc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1323674-7148330f00564fc2bec91e2f7b3db8a0.jpg,10.0,20.0,40.0,10.0,D,Short Wait,Wait time 1-30 min,"- Remove stems from mushrooms and finely chop stems.
- Heat olive oil in a skillet over medium heat; cook and stir chopped mushroom stems, shallot, and garlic until softened, about 5 minutes. Pour wine into the skillet; cook and stir mixture using a wooden spoon until liquid is evaporated, 1 to 2 minutes. Cool mixture to room temperature, about 10 minutes.
- Preheat an outdoor grill for medium heat and lightly oil the grate.
- Brush the olive oil mixture over the top each mushroom and place, top-side up, on a grilling pan. Mix pesto and pine nuts with the mushroom stem mixture together in a bowl; spoon into each mushroom. Sprinkle Italian cheese blend over the filling.
- Grill mushrooms on the preheated grill until edges are blackened and stuffing is bubbling, about 10 minutes."
World's Best Key Lime Pie,4.6,"Very easy, very good, light Key lime taste that still makes you pucker. Took me a while to perfect this one. No baking, no fuss - takes me 10 or 15 minutes to make.",,,,8,"1 (10 inch) prepared graham cracker pie crust | 1 (14 ounce) can sweetened condensed milk | ½ cup key lime juice | 1 (16 ounce) package frozen whipped topping, thawed",https://www.allrecipes.com/thmb/kW4pkjwrA0ScrzipvhK6HIO253k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/37587-5958d73eeeab4bfa95a71d7fda28dedb.jpg,,,,,,,,"- In a large bowl, mix together condensed milk and lime juice. Fold in whipped topping and mix until smooth. Pour mixture into graham cracker crust. Refrigerate at least 1 hour before serving."
Siopao (Filipino Steamed Buns),4.3,This is my recipe for the the dough for the popular Filipino steamed bun with chicken and pork filling (link to recipe in footnotes). Serve hot with noodle soup.,30 mins,,1 hr 45 mins,16,"3 ⅓ cups all-purpose flour | ½ cup white sugar | ½ teaspoon salt | 1 (.25 ounce) package active dry yeast | 1 cup lukewarm water | ¼ cup vegetable oil | 1 teaspoon vegetable oil, or as needed",https://www.allrecipes.com/thmb/Mj04Q_U9WJfBIK5oVJX4BUpPiIk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9404384-d12cd174f5f042c2853e7ee9405c94e1.jpg,30.0,,105.0,75.0,,,,"- Mix flour, sugar, salt, and yeast together in a large bowl. Add water and 1/4 cup oil; mix into a dough. Knead until smooth and elastic, at least 10 minutes. Dust with extra flour if necessary.
- Warm up the oven for 1 minute. Turn oven off.
- Oil a large bowl; place dough inside and cover with cheesecloth. Place in the warmed oven until size has doubled, about 1 hour.
- Punch down dough. Keep in the oven until risen, at least 15 minutes more. Knead dough onto a flat work surface and divide into 12 golf-sized balls. Roll out each ball and fill with choice of filling (see footnote for my chicken and pork filling). Gather and twist the edges together to secure the filling.
- Place each siopao on a 3x3-inch piece of wax paper.
- Place siopao in a steamer and steam for 30 minutes."
Brazilian Banana Bread,4.1,"In Brazil we call this Banana Cake, but when I baked this for the first time here everyone started calling it Banana Bread. You can add nuts in the dough or on the top if you wish.",25 mins,35 mins,1 hr,12,3 tablespoons margarine | 2 cups white sugar | 3 egg yolks | 3 cups all-purpose flour | 1 tablespoon baking powder | 1 cup milk | 3 egg whites | 6 bananas | 2 tablespoons white sugar | 1 teaspoon ground cinnamon,https://www.allrecipes.com/thmb/JyXghArTWMcRliNRMAW3Hha2VEY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/682510-ef18fd69c81341ddb5839bf83ea5a99d.jpg,25.0,35.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch pan.
- In a large bowl, mix together margarine and sugar until smooth. Mix in yolks. Stir in flour and baking powder alternately with the milk.
- In another bowl, beat egg whites until doubled in volume. Fold beaten whites into the dough. Spread into a greased 9 x 12 inch pan. Slice bananas over the top of the dough. In a small bowl, mix together the 2 tablespoons sugar and the cinnamon; sprinkle over bananas.
- Bake at 350 degrees F (175 degrees C) for 30 to 35 minutes, or until a toothpick inserted into the center comes out clean. Allow to cool."
Firecracker Fried Chicken Drumsticks,4.4,"I tried this deep-fried chicken leg recipe a while ago, and my husband and I fell in love with it. He has to have it at least twice a week. Sometimes I use boneless, skinless chicken breasts in place of the drumsticks as they take less time to cook.",20 mins,25 mins,1 hr 45 mins,4,"8 chicken drumsticks, skin removed | ¼ cup hot pepper sauce | 1 quart vegetable oil for frying | ⅓ cup all-purpose flour | 2 tablespoons yellow cornmeal | ½ teaspoon salt",https://www.allrecipes.com/thmb/OdzsSatWfd79ui8s_WkyH0i_IfY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-25492-firecracker-fried-chicken-drumsticks-DDMFS-4x3-d0028b435b674cd59f6d69630f4454a8.jpg,20.0,25.0,105.0,60.0,E,Long Wait,Wait time > 30 min,"- Remove skin from chicken and place in a resealable plastic bag. Pour sauce over chicken, seal bag, and refrigerate to marinate for at least 1 hour, up to 24 hours. The longer the chicken marinates, the spicier it will be.
- Heat oil in a deep-fryer or large skillet to 350 degrees F (175 degrees C).
- Combine the flour, cornmeal, and salt in another resealable plastic bag. Add the drumsticks, seal bag, and shake to coat.
- Fry the chicken, uncovered, for 25 to 30 minutes or until juices run clear. Turn occasionally to brown evenly."
Cheeseburger Egg Rolls,4.7,"I had something similar at a restaurant, threw these together at home, and they were pretty good! As a dipping sauce, use mayo and catsup mixed together.",25 mins,25 mins,50 mins,15,"1 pound ground beef | 1 onion, chopped | 1 cup chopped dill pickles or sweet pickles | 1 cup shredded Cheddar cheese | 1 tablespoon prepared yellow mustard, or to taste | 1 (16 ounce) package egg roll wrappers | 1 cup vegetable oil for frying",,25.0,25.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Place the ground beef and onion in a skillet over medium heat, and cook and stir for about 10 minutes, breaking up the beef into crumbles as it cooks. Drain the meat and transfer to a bowl. Stir in the chopped pickles, shredded cheese, and mustard, and mix together well.
- Line a baking sheet with parchment paper. Place a bowl of water next to your work surface. Remove an egg roll wrapper from the stack, and cover the remaining wrappers with a damp paper towel to prevent them from drying out.
- Place the wrapper on the work surface with a corner facing towards you. Place about 1/4 cup of filling on the wrapper, and fold the top corner down over the filling. Tightly roll the wrapper into a cylinder, tucking in the corners as you roll, until the wrapper completely encloses the filling. Moisten the last corner with a little water, and finish wrapping so the moistened corner tightly seals to the egg roll, and there are no gaps to let the filling leak out. Place filled egg rolls on the parchment-lined baking sheet, covered with a slightly damp paper towel, while you finish making the egg rolls.
- Heat the oil in a deep saucepan or deep fryer until a thermometer registers 365 degrees F (185 degrees C). Carefully place 2 or 3 egg rolls at a time into the hot oil, and fry for about 4 or 5 minutes, turning the egg rolls over once, until golden brown. Remove the egg rolls with a tongs, and drain on paper towels."
Beer-Marinated Deer Jerky,5.0,"Lean deer meat (venison) is marinated overnight to perfection in beer and then dehydrated to become jerky. While this jerky recipe takes time to make, it is relatively easy and well worth it. My whole family loves it, and I bet yours will, too.",15 mins,,14 hrs 15 mins,16,"2 pounds lean venison, cut into thin strips | 1 (12 fluid ounce) can or bottle beer (such as Budweiser) | ½ cup soy sauce | ½ cup Worcestershire sauce | 1 tablespoon salt | 1 teaspoon minced fresh garlic | 1 teaspoon curry powder | ½ teaspoon ground black pepper, or more to taste | ½ teaspoon ground ginger",https://www.allrecipes.com/thmb/dKT1VHFLZRSiDJ45bJBs-DHgkok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8829610-babc61d0d4b84805b926b60bffd0ca7f.jpg,15.0,,855.0,840.0,,,,
Five-Ingredient Monkey Bread,4.6,"I gave this monkey bread recipe to my daughter who has 6 children. They love this, and it is so simple they can make it themselves which they love to do. If desired, a thin mixture of powdered sugar frosting can be poured over warm biscuits.",5 mins,35 mins,40 mins,12,3 (10 ounce) packages refrigerated biscuit dough | ¾ cup white sugar | 3 tablespoons ground cinnamon | ½ cup margarine | ¾ cup white sugar,https://www.allrecipes.com/thmb/K1EPM6aFeE_sSBd2yjjn9wdqULE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2616462-95aeca3022434e45b1b56f049e637557.jpg,5.0,35.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",
Anzac Biscuits III,4.6,"Traditional Australian recipe, handed down from my mother. Originally, these delicious bikkies (biscuits) were lovingly baked and sent in care packages to our soldiers at war. I am an Aussie living in Japan, so I know the substitutions work because I have had to use them!!",15 mins,15 mins,30 mins,24,1 cup quick cooking oats | 1 cup all-purpose flour | 1 cup dry unsweetened shredded coconut | 1 cup brown sugar | 2 teaspoons ground ginger | 1 ½ teaspoons baking soda | 2 tablespoons boiling water | ½ cup butter | 1 tablespoon golden syrup,https://www.allrecipes.com/thmb/qeUcsg4eTuSIhtifYI88_tD_-2s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5190817-b8fc60a7d9b840d2b33cbe7c13a93ce8.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat oven to 350 degrees F (175 degrees C). Grease 2 baking sheets. Mix quick oats, flour, coconut, brown sugar, and ginger in a bowl. With your fingers, make a well in the center of the dry ingredients.
- Dissolve the baking soda in boiling water. In a small saucepan, melt the butter, and stir in the golden syrup to combine. Pour in the dissolved baking soda, and pour the mixture into the well in the dry ingredients. Stir lightly until just combined; drop by rounded tablespoon about 2 inches apart onto the prepared baking sheets.
- Bake in the preheated oven until the cookies are golden brown, 10 to 15 minutes."
Stout-Braised Lamb Shanks,4.7,This hearty Irish lamb shank stew is perfect if you feel like having something a little different on St. Patrick's Day.,25 mins,2 hrs 25 mins,2 hrs 50 mins,4,"1 tablespoon vegetable oil | 4 lamb shanks | 1 onion, chopped | 4 cloves garlic, chopped | 2 carrots, chopped | 2 celery ribs, chopped | 2 tablespoons tomato paste | 1 (14 ounce) can beef broth | 1 (12 fluid ounce) bottle stout (such as Guinness®) or porter | 3 sprigs fresh thyme | 3 sprigs fresh parsley | 1 bay leaf | 1 sprig fresh rosemary | salt and pepper to taste",https://www.allrecipes.com/thmb/_SrwidTwWV7j8hPjiFjKa1N2bEc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158799stout-braised-lamb-shanksChargerFan4x3-3825bd967f194ec6bc82764210b9c6ea.jpg,25.0,145.0,170.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Heat oil in a Dutch oven or large, wide pot over medium-high heat until the oil begins to smoke. Brown the lamb shanks in the hot oil on all sides until well browned, about 10 minutes. Remove lamb shanks and set aside. Pour the excess grease from the Dutch oven, reduce heat to medium, and stir in the onions and garlic. Cook and stir until the onions have softened and turned translucent, about 5 minutes. Stir in the carrots, celery, and tomato paste; continue cooking 5 minutes more.
- Return the lamb shanks to the Dutch oven, and pour in the stout beer and beef broth. Bring to a simmer over high heat. While you're waiting for the beer to simmer, use kitchen twine to tie together the thyme sprigs, parsley sprigs, and bay leaf into a secure bundle; add to the lamb shanks.
- Once the lamb shanks begin to simmer, reduce the heat to medium-low, cover, and simmer until the lamb is very tender and nearly falling off of the bone, 2 to 3 hours. Stir the lamb occasionally as it cooks, and add water if needed to keep the cooking liquid from becoming too thick. You want the cooking liquid to have reduced into a nice sauce by the time the lamb shanks are done. Stir in the rosemary sprig, and salt and pepper to taste during the last 10 minutes of cooking. Remove rosemary sprig and herb bundle before serving."
