Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Pumpkin-Almond-Date Balls,5.0,Festively fall flavor in these nutty date balls! Best eaten within a week.,30 mins,,1 hr 30 mins,12,"22 Medjool dates, pitted | ⅔ cup finely chopped almonds, divided | ½ cup shredded unsweetened coconut | ⅓ cup pumpkin puree | ⅓ cup unsweetened cocoa powder | 1 teaspoon vanilla extract | 1 teaspoon pumpkin pie spice | 1 pinch salt",https://www.allrecipes.com/thmb/o1OLz3jGyngCIRpjBl8G6gCFF3E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573286-5366fa0e55b3429296de9a8e08338f75.jpg,30.0,,90.0,60.0,,,
Edamame Hummus with Garlic Scapes,5.0,Glorious garlic-and-edamame-flavored hummus. I think this is my new favorite and a great way to use up garlic scapes from your CSA box.,10 mins,5 mins,25 mins,24,"1 (16 ounce) package frozen shelled edamame (green soybeans) | 5 tablespoons cashews, or more to taste | 3 teaspoons salt, or as needed | 1 cup green garlic (garlic scapes), cut into pieces | 1 teaspoon coriander | 1 teaspoon black pepper | 1 small lemon, finely zested and juiced | ¾ cup extra-virgin olive oil, or more as needed",https://www.allrecipes.com/thmb/Ac8Kn3bIibpJ_Nt8CZrRUeCPWmE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4522051-b01affed9de64b1ba14c33d25f56187d.jpg,10.0,5.0,25.0,10.0,D,Short Wait,Wait time 1-30 min
Favorite Peanut Butter Cookies,4.4,Simple peanut butter cookies with the traditional crisscross on the top.,30 mins,30 mins,1 hr,54,1 ¼ cups creamy peanut butter | 1 cup margarine | ¾ cup white sugar | ¾ cup packed light brown sugar | 2 eggs | ½ teaspoon vanilla extract | 2 ¼ cups all-purpose flour | 1 teaspoon baking powder | 1 teaspoon baking soda,https://www.allrecipes.com/thmb/dQ98WeZALtXEiOPEjQ1MVOw3gPU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8218495-favorite-peanut-butter-cookies-Coreo-4x3-1-a598b0d25fe54df6bdd052ed4b2978c9.jpg,30.0,30.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Instant Pot Butternut Squash Risotto,4.0,"This delicious combination of creamy Arborio rice and tasty butternut squash makes a great meatless main dish or a side dish for your favorite protein. Your Instant Pot makes quick work of this version of classic risotto, freeing you up for other last-minute dinner details. A salad and crusty bread complete this easy and flavorful meal. Garnish with additional fresh sage, if desired.",15 mins,30 mins,50 mins,4,"4 cups low-sodium chicken broth | 3 tablespoons unsalted butter, divided | ½ cup chopped onion | 2 cups Arborio rice | 3 sprigs fresh sage | 2 cloves garlic, minced | 1 cup dry white wine | 2 cups diced butternut squash | salt and ground black pepper to taste | ½ cup grated Parmesan cheese",https://www.allrecipes.com/thmb/5r6GBPLEhBtSlIudRJ_oK7vYsTg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7776755-dabd7e13afdf43ff8e050b06dfb84352.jpg,15.0,30.0,50.0,5.0,D,Short Wait,Wait time 1-30 min
Overnight Asparagus Mushroom Strata,4.6,"This asparagus strata recipe is one of my mom's best ideas. It is a colorful make-ahead dish that combines toasted English muffins with layers of cheese, mushrooms, and asparagus. It makes brunch a breeze!",30 mins,50 mins,9 hrs 55 mins,8,"2 teaspoons butter, or as needed | 1 ¾ cups sliced crimini mushrooms | 5 English muffins, split and toasted | 2 cups shredded Colby-Monterey Jack cheese, divided | 1 pound fresh asparagus, trimmed and cut into 1-inch pieces | ½ cup chopped red bell pepper | ½ onion, finely chopped | 2 cups milk | 8 eggs | 1 teaspoon salt | 1 teaspoon dry mustard powder | ¼ teaspoon ground black pepper",https://www.allrecipes.com/thmb/voONz1sAvD9ddlLcrgwoKY-sw58=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5561637_Overnight-Asparagus-Mushroom-Strata-4x3-30f29f9c83004cac94a37c8ba358b3a5.jpg,30.0,50.0,595.0,515.0,E,Long Wait,Wait time > 30 min
Swedish Limpa Rye Bread,4.5,"Wonderful, dark Swedish limpa bread.",20 mins,40 mins,3 hrs 35 mins,8,"1 ½ teaspoons caraway seeds | 1 ½ teaspoons fennel seeds | 1 ½ teaspoons anise seeds | 1 ¼ cups whole milk | ¼ cup butter, cut into cubes | ¼ cup molasses | 3 ½ teaspoons active dry yeast | 2 cups all-purpose flour, or more as needed | 1 cup rye flour | 1 ½ teaspoons sea salt | 1 teaspoon orange zest",https://www.allrecipes.com/thmb/jznfR601n7HTq-2xN1Bq1pO3xhw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6108355-64847974fb6c4f9ab1dfca124f6ba265.jpg,20.0,40.0,215.0,155.0,E,Long Wait,Wait time > 30 min
Classic Chicken Cordon Bleu,4.8,"This version of classic chicken Cordon Bleu (meaning ""blue ribbon"") is served with a creamy wine sauce. The term originally referred to an award for culinary excellence.",20 mins,40 mins,1 hr,6,"3 tablespoons all-purpose flour | 1 teaspoon paprika | 6 skinless, boneless chicken breast halves | 6 slices Swiss cheese | 6 slices ham | 6 tablespoons butter | ½ cup dry white wine | 1 teaspoon chicken bouillon granules | 1 cup heavy whipping cream | 1 tablespoon cornstarch",,20.0,40.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Shrimp and Vegetable Sheet Pan Dinner,4.4,"A simple and delicious sheet pan dinner with shrimp and vegetables - you can use any combination of vegetables you like, but try to cut them all in even pieces.",15 mins,20 mins,35 mins,4,"1 red onion, coarsely chopped | 1 red bell pepper, chopped | 1 cup sliced fresh mushrooms | 1 zucchini, chopped | 3 tablespoons olive oil, divided | salt and freshly ground black pepper to taste | ¼ teaspoon paprika | 1 pound fresh shrimp, peeled and deveined | 1 teaspoon lemon zest | ½ teaspoon garlic powder",https://www.allrecipes.com/thmb/4zB5O30NTtPx3tHHTu6-2B0OMRs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8301499-shrimp-and-vegetable-sheet-pan-dinner-kk-nelson-4x3-1-ec3018b7c8b9416e9b220abb91ca5a48.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Coconut and Marzipan Macaroons,1.0,"These chocolate-dipped macaroons originate from the German city of Lübeck, popular for its marzipan.",40 mins,20 mins,1 hr 30 mins,65,"5 large egg whites | 18 ounces marzipan | 2 cups confectioners' sugar, sifted, divided | 2 cups dried unsweetened coconut | ½ teaspoon lemon zest | 2 tablespoons rum | ½ cup white sugar | 2 (3.5 ounce) packages dark chocolate, finely chopped",https://www.allrecipes.com/thmb/NZ9TggxCdecSN9MzV8t9lF5gJlc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8705059-84951693b614449987fd72ab5ef808c7.jpg,40.0,20.0,90.0,30.0,D,Short Wait,Wait time 1-30 min
Biscuit Cinnamon Rolls,4.9,"These biscuit cinnamon rolls are a simple, quick, inexpensive breakfast, dessert, or late night treat that even the kids will love.",20 mins,15 mins,35 mins,20,"butter for greasing | 2 tablespoons brown sugar | ½ cup white sugar | 2 tablespoons ground cinnamon | 2 tablespoons brown sugar | 1 tablespoon vanilla extract | ½ cup confectioners' sugar | 2 teaspoons milk | 1 (10 count) package refrigerated biscuit dough | ¼ cup butter, melted",https://www.allrecipes.com/thmb/Y4qwo4AL3N5-8VC-kL4n8zF1mgY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7058306-1bca288144f3481db3111912f94f0da4.jpg,20.0,15.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Rhubarb-Strawberry Herb Crumble Pie,,"Not your usual rhubarb pie, this fruit crumble adds fresh rosemary and citrus thyme for a herby twist. It's then baked inside a pie crust for a dessert with a sweet and crunchy top and bottom.",20 mins,35 mins,55 mins,8,"1 (9 inch) pie crust | 1 cup all-purpose flour | ½ cup brown sugar | ½ cup cold butter, cut into cubes | 10 ounces fresh rhubarb, diced | 10 ounces fresh strawberries, hulled and halved | ½ cup white sugar | 2 tablespoons cornstarch | 1 tablespoon lemon juice | 1 tablespoon fresh lemon thyme | 1 sprig fresh rosemary, leaves stripped and finely chopped",https://www.allrecipes.com/thmb/xrCqllY2XaXkbqNDQTFFDxXAcOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6927578-8faacca139f34e1bad68196ec554cf90.jpg,20.0,35.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Chipotle Chicken Salad,4.6,Try this recipe for chicken salad with a chipotle kick if you have leftover chicken that you want to use. This is very easy and takes no time at all. I throw it on toasted bread with sliced tomatoes and fresh basil.,15 mins,,15 mins,6,"2 ½ cups cubed cooked chicken | 1 cup mayonnaise | ¼ cup crumbled reduced-fat feta cheese | 2 green onions, chopped | 3 tablespoons reduced-fat sour cream | 3 chipotle peppers in adobo sauce, minced | garlic salt and pepper to taste",https://www.allrecipes.com/thmb/jEwu9Cnukd3bjhTt7wyOgS5eBGE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/169329chipotle-chicken-saladChefMo4x3-68bc1896ee0a46f794fd6f681509d6a4.jpg,15.0,,15.0,0.0,,,
Balsamic and Herb Quinoa Salad,4.6,"Serve this cold quinoa salad with balsamic dressing as a delicious summer side to your favorite grilled meat, or try it alone as a great light lunch. I have been experimenting a lot with quinoa recently, and this is by far my favorite recipe. It's such a nice, healthy alternative to pasta and rice!",15 mins,25 mins,1 hr 20 mins,4,"2 cups water | 1 cup quinoa | 1 teaspoon chicken bouillon granules | ½ cup frozen baby lima beans | water to cover | salt and freshly ground black pepper to taste | ⅓ cup slivered almonds | 3 Campari tomatoes, diced | 2 tablespoons thinly sliced scallions | 2 ounces fresh mozzarella cheese, cut into small chunks | 3 tablespoons balsamic vinegar | 3 tablespoons almond oil | 2 tablespoons extra-virgin olive oil | 2 teaspoons Italian seasoning | 2 teaspoons dried basil | 1 teaspoon minced garlic | ¼ teaspoon salt",https://www.allrecipes.com/thmb/Af8g1RfWN55NaeowNNIybTAqIt4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1210556-0ac70a63734a4225924ce1c6dd82d33a.jpg,15.0,25.0,80.0,40.0,E,Long Wait,Wait time > 30 min
Sweet Sticky Rice with Mangoes,4.7,This sweet sticky rice with mangoes recipe makes a delicious typical Thai dessert.,15 mins,20 mins,1 hr 35 mins,6,"2 cups uncooked glutinous (sticky) white rice, rinsed | 1 (13.5 ounce) can coconut milk, divided | 1 cup white sugar | 1 tablespoon white sugar | ¾ teaspoon cornstarch | ¼ teaspoon salt | 2 ripe mangoes, peeled and cubed",https://www.allrecipes.com/thmb/oAuoccJwyklXzCGZvlgEJjpr6KQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2238658-fbc696abb47d4c2e8bb553274eae78fd.jpg,15.0,20.0,95.0,60.0,E,Long Wait,Wait time > 30 min
Instant Pot Potato Salad,4.7,"This Instant Pot potato salad saves you time and means one less pot to wash! This method cooks the potatoes and eggs perfectly, and the shells slip right off of the eggs, making this a breeze to put together.",10 mins,20 mins,1 hr 45 mins,8,"1 ½ cups water | 2 pounds red potatoes, scrubbed and cubed | 3 large eggs | 2 ribs celery, chopped | ¼ cup mayonnaise | 2 green onions, chopped | 3 tablespoons yellow mustard | 1 tablespoon dill pickle relish | 1 teaspoon paprika | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/2b_xIR_vD7j2grPDebOnExoiN2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8101390-de41d7a84d62485ea79b2493be337d85.jpg,10.0,20.0,105.0,75.0,E,Long Wait,Wait time > 30 min
Pot Roast Caribe,4.3,Delicious variation of the basic pot roast with a Caribbean flair.,25 mins,8 hrs,8 hrs 25 mins,6,"2 tablespoons vegetable oil | 1 (3 pound) boneless beef chuck roast | 2 cloves garlic, crushed | 1 cup chopped onion | 1 teaspoon salt | 2 (8 ounce) cans tomato sauce | 2 tablespoons white sugar | 1 tablespoon all-purpose flour | 1 teaspoon unsweetened cocoa powder | 1 teaspoon chili powder | 1 teaspoon dried oregano | 1 teaspoon ground cumin | 1 teaspoon ground coriander | ¼ teaspoon ground cinnamon | 1 teaspoon grated orange zest | 2 large potatoes, cut into large chunks | 3 carrots, sliced | 1 stalk celery, chopped | ½ cup sliced almonds",https://www.allrecipes.com/thmb/sCVr44dOpBZgSRLhQgiE9mBQXWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/306254-bc6e9d039f134f08bd0597909bf6b352.jpg,25.0,480.0,505.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Instant Pot Leek Mashed Potatoes,5.0,"A little something different from traditional mashed potatoes, for the Instant Pot. The leeks add a very mild oniony flavor. Enjoy!",15 mins,25 mins,55 mins,4,"1 pound potatoes, peeled and cut into 1-inch cubes | 1 leek, white parts only, quartered lengthwise and finely sliced | ½ teaspoon coarse salt | ⅓ cup milk, warmed | water to cover | 2 tablespoons butter | salt to taste",https://www.allrecipes.com/thmb/pTkgfGCM3nqMiQJfQiqema_-NfQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/267894instant-pot-leek-mashed-potatoesfabeveryday4x3-15aa44ac829b44d5a826b84bd3c5f923.jpg,15.0,25.0,55.0,15.0,D,Short Wait,Wait time 1-30 min
Six-Egg Pound Cake,4.5,"Made with six eggs, this cake recipe rises up high above all others, resulting in the best pound cake ever. Top with confectioners' sugar or glaze.",25 mins,1 hr,1 hr 50 mins,14,"3 cups all-purpose flour | 1 tablespoon baking powder | ½ teaspoon salt | 2 ½ cups white sugar | 1 ½ cups unsalted butter, softened | 6 eggs | 1 ½ teaspoons vanilla extract | ¾ cup milk",https://www.allrecipes.com/thmb/eNkBucap7JM-5zTv0BbG-3P-pkk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5277794-4bcaa45293f34338b178367d8f26b2a9.jpg,25.0,60.0,110.0,25.0,D,Short Wait,Wait time 1-30 min
Quince Jelly,4.4,This quince jelly is an old family recipe. Quince is a fruit related to apples and pears — it has a bright flavor but is quite tart. This jelly is the perfect way to use quince fruit.,30 mins,40 mins,1 hr 10 mins,32,"7 ½ cups sugar | 3 fluid ounces liquid pectin | 4 ½ cups water | 3 pounds quinces, cored and chopped, peels on | ¼ cup lemon juice",https://www.allrecipes.com/thmb/TAwaKWmuBX29M0DCgf-ydVIryws=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23829-22ab0706a6a54f9abeeb826c399a90b0.jpg,30.0,40.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Chocolate Black Tea Cake,4.2,This is an Austrian recipe that was passed on from one generation to the next in my family. The secret of this cake's full flavour and softness: Prepare it one day in advance before eating it!,20 mins,1 hr,1 hr 20 mins,12,"4 eggs, separated | 1 cup butter | 1 ⅔ cups white sugar | 1 cup brewed black tea, cold | 2 cups all-purpose flour | 1 ½ tablespoons baking powder | ⅓ cup dry bread crumbs | ⅓ cup unsweetened cocoa powder | 1 cup chopped hazelnuts",https://www.allrecipes.com/thmb/6KhnrwCTMHb1z86yYAEq4W4--r4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/26698-21600b3abb2a49f39010d611f6610d73.jpg,20.0,60.0,80.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Meyer Lemon and Blueberry Cheese Tart,4.9,Luscious lemon cheese filling with blueberry topping.,20 mins,20 mins,2 hrs,16,"4 ½ ounces thin lemon tea cookies (such as Trader Joe's® Meyer Lemon Cookies), crushed | 3 tablespoons butter, melted | 1 pound fresh blueberries | ⅔ cup white sugar | 1 tablespoon cornstarch | 1 (8 ounce) container mascarpone cheese | 3 tablespoons lemon curd | ½ (8 ounce) container frozen whipped topping, thawed",https://www.allrecipes.com/thmb/sNrulI2SNxfgMZQ4l9--lrdc2ns=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/856536-9ba46071b29249d7a05b428d32d29875.jpg,20.0,20.0,120.0,80.0,E,Long Wait,Wait time > 30 min
Lazy Pierogi,3.7,"For this tasty pierogi casserole, sauerkraut, onion, mushrooms, and pasta are combined and baked in a rich, buttery sauce. If you are making this ahead and are going to reheat it in the oven you may have to add a little water. If cold, bake at 350 degrees for 1 1/2 to 2 hours.",10 mins,1 hr 20 mins,1 hr 30 mins,8,"3 pounds sauerkraut | 1 onion, chopped | 1 pound uncooked rotini pasta | 1 pound fresh mushrooms, chopped | ½ pound butter | 2 (10.75 ounce) cans condensed cream of mushroom soup",https://www.allrecipes.com/thmb/oeVTutL1AyPreJq6UvYcUX5jCak=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/49305-49b197a1b8004337ac942de7fa714b2f.jpg,10.0,80.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Grandma's English Muffin Bread,4.6,"Make the dough for English muffins in the bread machine, then bake the loaves in the oven, and toast slices just before eating for the best taste. My grandma used to bake her loaves in large greased cans coated with cornmeal, which added to the English muffin appearance. Today she uses nonstick pans.",15 mins,15 mins,2 hrs 30 mins,18,1 cup warm milk | ¼ cup water | 3 cups all-purpose flour | ½ tablespoon white sugar | 1 teaspoon salt | ⅛ teaspoon baking powder | 2 ¼ teaspoons active dry yeast,https://www.allrecipes.com/thmb/elPViKqBW5yLJxqQnwoDJkXGqY4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/343742-068a9770ba29456ca4410ead073ff398.jpg,15.0,15.0,150.0,120.0,E,Long Wait,Wait time > 30 min
Cheddar Bacon Mac and Cheese,4.5,"With added bacon, mac and cheese becomes elevated comfort food. This recipe is quick and easy, creamy and cheesy — it's everything you need!",20 mins,40 mins,1 hr,4,"1 ¾ cups elbow macaroni, uncooked | 3 tablespoons butter or margarine | 2 tablespoons flour | 2 cups milk, or as needed | 2 cups KRAFT Shredded Sharp Cheddar Cheese, divided | 3 slices OSCAR MAYER Center Cut Bacon, cooked, crumbled",https://www.allrecipes.com/thmb/d7Yp1VpXxHGujhXd-PWTgvUmi4M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/217193-Cheddar-BaconMacCheese-ddmfs-gw-beauty-4x3-0155-6fc7b38b7c12412a95d5e9aeee96e438.jpg,20.0,40.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Eggnog Cookies,4.4,These eggnog cookies are a delectable treat for eggnog lovers! These cookies have a wonderful aroma — the fragrance of nutmeg and cinnamon will infuse your home as you bake these cookies. They make delicious holiday gifts and are a welcome addition to cookie exchanges!,15 mins,20 mins,35 mins,36,"2 ¼ cups all-purpose flour | 1 teaspoon baking powder | 1 teaspoon ground nutmeg, or as needed | ½ teaspoon ground cinnamon | 1 ¼ cups white sugar | ¾ cup butter, softened | ½ cup eggnog | 2 egg yolks | 1 teaspoon vanilla extract",https://www.allrecipes.com/thmb/bc-0hqJIkO0YxdIthDdp06nOL5M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-9438-eggnog-cookies-i-VAT-4x3-1-c3c507aee8234868a4ba0e2b8cacc64c.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Cilantro Lime Salad Dressing,4.7,"Inspired by the delicious dressing on the grilled chicken salad at TGI Fridays, I created my own version. Drizzle it over anything that needs a refreshing burst of flavor.",10 mins,,10 mins,16,"1 medium jalapeno pepper, seeded and coarsely chopped | 1 clove garlic | ¾ teaspoon minced fresh ginger root | ⅓ cup honey | ¼ cup lime juice | ¼ cup packed cilantro leaves | 2 teaspoons balsamic vinegar | ½ teaspoon salt, or to taste | ½ cup extra-virgin olive oil",,10.0,,10.0,0.0,,,
Sweet Tamales with Pineapple and Coconut,5.0,"For these sweet Mexican tamales, pineapple is cooked with sugar and water so that it becomes extra soft and sweet. It tastes great in combination with coconut and raisins. The masa dough is mixed with butter instead of lard.",25 mins,55 mins,4 hrs 35 mins,36,corn husks | 2 pounds chopped fresh pineapple | 1 ½ cups water | 1 ¼ cups white sugar | 2 pounds fresh corn masa dough | 1 cup unsalted butter | 2 tablespoons baking powder | 1 cup grated coconut | ⅔ cup raisins,https://www.allrecipes.com/thmb/VYyFMLQa5VAV5x13e3VG3LnEDls=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5181332-sweet-tamales-with-pineapple-and-coconut-Sony-4x3-1-e3ba3a3c2760441c93d1833e3d8d8ec2.jpg,25.0,55.0,275.0,195.0,E,Long Wait,Wait time > 30 min
Baked Chicken Empanadas with Hatch Chile,5.0,"Empanadas get elevated with the addition of Hatch chile. Serve with avocado, salsa, and sour cream if desired.",25 mins,35 mins,1 hr,10,"1 tablespoon salted butter | ½ cup diced onion | 1 cup diced cooked chicken | ½ cup Mexican-style corn | 1 fire-roasted hatch green chile, chopped | 1 teaspoon adobo seasoning (such as Goya®) | 1 (14 ounce) package frozen empanada shells (such as Goya® discos) | ½ cup shredded Oaxaca cheese | ¼ cup shredded Cheddar cheese",https://www.allrecipes.com/thmb/3Q2VlAxUK-4tAzecY6CSNuauc6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8456848_BakedChickenEmpanadaswithHatchChile4x3-fa915d1328c04cf7ae2ecc874b73a3ea.jpg,25.0,35.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Toasted Garlic Bread,4.7,This garlic toast recipe is quick to make and scrumptious to eat! It will complement any Italian meal. Melted mozzarella is optional but delicious.,10 mins,5 mins,15 mins,10,"1 (1 pound) loaf Italian bread | 5 tablespoons butter, softened | 3 cloves garlic, crushed | 2 teaspoons extra virgin olive oil | 1 teaspoon dried oregano | salt and pepper to taste | 1 cup shredded mozzarella cheese",,10.0,5.0,15.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Mexican Bean and Tortilla Soup (Sopa Tarasca),5.0,"It's not possible to get tired of this traditional recipe for Mexican bean and tortilla soup, or sopa tarasca, from the state of Michoacan. Besides delicious, it is easy, fast, and economical.",10 mins,35 mins,45 mins,4,"3 tablespoons vegetable oil, divided | 2 pasilla chile peppers - stems, seeds, and veins removed | 4 (6 inch) corn tortillas, cut into thin strips | 1 Roma tomato | 2 serrano peppers, or to taste | 1 cup water | ½ small onion, sliced | 4 cups black beans, with liquid | 1 pinch ground dried oregano | salt to taste | 3 tablespoons grated Cotija cheese, or to taste",https://www.allrecipes.com/thmb/6PTxBTKBxGlaldyWQPOT7iKNRG8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5315429-b37f7d169e3f49b79e2900af3422bd41.jpg,10.0,35.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Pan De Sal I,4.3,Crispy and delicious dinner rolls from the Philippines.,,,,20,2 cups warm water (110 degrees F/45 degrees C) | 2 teaspoons active dry yeast | ⅓ cup white sugar | ¼ cup vegetable oil | 1 ½ teaspoons salt | 6 cups all-purpose flour,https://www.allrecipes.com/thmb/TTrshrt8wteKNrsyaR1camxAA_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/96883-2c2cefd30ba447d0a73859c5f92b68b2.jpg,,,,,,,
Strawberry Rhubarb Cobbler,5.0,My grandmother gave me this strawberry rhubarb cobbler recipe. Everything she makes tastes wonderful! Serve warm or at room temperature.,10 mins,50 mins,1 hr 15 mins,12,"cooking spray | 6 cups sliced rhubarb | ⅔ cup white sugar | 1 (3 ounce) package strawberry-flavored gelatin mix | 1 (9 ounce) package yellow cake mix (such as Jiffy® Golden Yellow cake mix) | ¾ cup water | ⅓ cup unsalted butter, melted | 2 teaspoons confectioners' sugar | 1 cup frozen whipped topping, thawed (Optional)",https://www.allrecipes.com/thmb/cGwVizNMA_OApKM1x1dhcVvfMAo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8138119-8247676fd35c4e1aabac6381fb370311.jpg,10.0,50.0,75.0,15.0,D,Short Wait,Wait time 1-30 min
"Orange, Fig, and Gorgonzola Salad",4.7,"I love the combination of oranges, figs, and cheese!",15 mins,,15 mins,4,"2 heads romaine lettuce, chopped | 2 oranges - peeled, pith removed, and cut into segments | ½ cup crumbled Gorgonzola cheese | 2 fresh figs, cut into 1-inch cubes | ¼ cup vinaigrette dressing, or to taste",https://www.allrecipes.com/thmb/_qqHaDK6ZWLhH1a2HGVFI_bBhFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1044911-f6351628dccb47349e1673c4cfcbfc0c.jpg,15.0,,15.0,0.0,,,
Quick Black Bean Hummus,4.7,Black beans make a delicious and healthy alternative to the usual garbanzo beans in hummus. This recipe is a crowd-pleaser and a nice staple at any gathering. Your vegetarian friends and family will thank you! If you have any roasted veggies on hand those also make a great addition blended in to the hummus!,10 mins,,10 mins,20,"2 (15 ounce) cans black beans, drained | 6 cloves garlic, minced | 1 teaspoon tahini | 2 teaspoons lemon juice | 1 teaspoon ground cumin | salt and ground black pepper to taste | 2 tablespoons olive oil, or to taste",https://www.allrecipes.com/thmb/eu6CRQiIEjn_QS-xYTPMpcVj2Co=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1953810-02387194daae4e398ae6f5ebfc695696.jpg,10.0,,10.0,0.0,,,
Southwestern Pasta Salad,4.5,This colorful Southwest pasta salad is full of flavor. It's always really popular at potlucks — you might want to make a double batch!,20 mins,10 mins,30 mins,8,"8 ounces rotini pasta | ⅓ cup vegetable oil | ¼ cup fresh lime juice | 2 tablespoons chili powder, or to taste | 2 teaspoons ground cumin, or to taste | ½ teaspoon salt | 2 cloves garlic, crushed | 1 ½ cups whole kernel corn | 1 (15 ounce) can black beans, drained and rinsed | ½ cup diced green bell pepper | ½ cup diced red bell pepper | ½ cup fresh cilantro leaves | 1 cup chopped roma (plum) tomatoes",https://www.allrecipes.com/thmb/A-WC0zb7Gofxw9CDsHf9khxwlpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/416311-d6d73917071b4aeb91d216346f485e6c.jpg,20.0,10.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Buffalo Chicken Totchos,5.0,"This recipe for crispy totchos — nachos made with tater tots — features bite-sized tater tot pieces piled high with Buffalo chicken and cheese for a ""nacho"" experience your friends and family will love!",15 mins,30 mins,45 mins,8,"1 (32 ounce) package frozen bite-size potato nuggets (such as Tater Tots®) | 2 pounds boneless skinless chicken breasts, cubed | 1 ½ teaspoons celery seed | 1 tablespoon olive oil | ⅔ cup buffalo wing sauce | 1 cup shredded Monterey Jack cheese | ½ cup ranch dressing",https://www.allrecipes.com/thmb/tJ5Da57-OmhZd_yionrUfEkLGRE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6807155-d1b5e87ab8fe41a1be066004c5b01128.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Ginger Apple Cups,,Autumn's best from your fingertips to your lips. Delicious apple sauce fills a sweet and spicy ginger cookie cup.,30 mins,8 mins,38 mins,20,"1 cup Mott's® Natural Applesauce | 2 teaspoons ground cinnamon | 2 ¼ cups all-purpose flour | 2 teaspoons ground ginger | 1 teaspoon baking soda | ¾ teaspoon ground cinnamon | ½ teaspoon ground cloves | ¼ teaspoon salt | ¾ cup butter, softened | 1 cup white sugar | 1 egg | 1 tablespoon water | ¼ cup molasses | ¼ cup confectioners' sugar | 3 tablespoons apple cider vinegar | ¼ teaspoon ground cinnamon",,30.0,8.0,38.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
